geneName,log2FoldChange
sufA,-0.56857674
yrvJ,-0.568183679
dnaE,-0.568061813
rapG,-0.567318586
xepA,-0.56711666
acuB,-0.566720851
yvgK,-0.565163196
yvgL,-0.564781455
yoqW,-0.563415589
yqiG,-0.561811218
ycbM,-0.561158022
yugJ,-0.560899854
ctaB,-0.560181412
yvdB,-0.559986138
ykuN,-0.558590128
gltX,-0.557544659
pnpA,-0.557020713
sacY,-0.556932706
ureB,-0.556870792
rpsK,-0.556857353
ydbB,-0.556830737
yrhF,-0.555509777
ytcP,-0.555246893
ydaO,-0.553620511
mstX,-0.553380277
yfkA,-0.552098836
yfhB,-0.551932045
fumC,-0.551689601
atpA,-0.551394863
yusP,-0.550918988
pnbA,-0.550256074
ydaK,-0.548662847
rplGA,-0.548625986
yhdV,-0.54812408
rhgP,-0.547786398
fabD,-0.547749895
yrzB,-0.545621896
ytfP,-0.543858685
yrkP,-0.543366426
ytzB,-0.542966623
yjlA,-0.542899535
mdxD,-0.542434772
valS,-0.542017662
nfrAA,-0.541484416
BS3610_RS23265,-0.540906759
yshE,-0.540179484
yugP,-0.539947621
ykcB,-0.539545522
yitI,-0.539319439
ykwD,-0.538899609
yjcH,-0.538825245
yckB,-0.538652214
tuaC,-0.538305938
pepA,-0.537613161
glyQ,-0.537578958
ykuE,-0.537277335
ykzK,-0.537075626
yqeK,-0.536833355
gsaB,-0.533988697
pstBB,-0.532829048
pbpD,-0.532249443
ydbK,-0.530700252
yjcK,-0.529228214
resC,-0.529015975
hepA,-0.528330177
ybcL,-0.528075885
yvlC,-0.527789883
ypmS,-0.52771913
yqeH,-0.526910392
pbpA,-0.523553253
yqkD,-0.521609903
iscSA,-0.520566507
yomH,-0.519575875
yoeA,-0.517370934
yodF,-0.517170879
ppsA,-0.517037093
ebrA,-0.516173613
xylB,-0.515397784
rpoB,-0.514409111
ydbC,-0.513613246
yvbX,-0.513404659
ltaSB,-0.513371551
maeA,-0.512677591
yqgL,-0.512205776
qdoR,-0.511742448
yhaM,-0.511381429
feuB,-0.510144885
ykvY,-0.509440521
pduO,-0.509197588
ywbF,-0.509042482
araE,-0.508771784
mta,-0.508467969
mcsB,-0.508122986
glyS,-0.50664708
pucR,-0.505994018
greA,-0.505468773
tetB,-0.504100985
ycxD,-0.503680451
rplI,-0.502026886
dapB,-0.500507714
rph,-0.500484111
tcyB,-0.500411385
hepT,-0.499826434
rnr,-0.499816506
yfiM,-0.49961809
ytqB,-0.498951874
yxeK,-0.49869156
sucD,-0.498528151
dacA,-0.498500232
yvkA,-0.498369365
ppsB,-0.49831915
ansB,-0.497158403
opuAC,-0.496252593
mtnA,-0.495215213
atpC,-0.494863322
yhjP,-0.494763889
yrbE,-0.494338238
yqeF,-0.493500156
tagC,-0.493353183
xhlB,-0.492692172
cssR,-0.492581682
yeeK,-0.492495615
ptsI,-0.492278445
yfhH,-0.492143084
tuaE,-0.492055381
yisR,-0.491109076
ypkP,-0.490742269
bacB,-0.490492106
speD,-0.490416289
bkdAA,-0.489976221
ycgR,-0.489272003
citR,-0.489234857
yccK,-0.489096136
ykvZ,-0.487737267
yyzO,-0.487673697
yesV,-0.487478702
ykoW,-0.487341836
yncC,-0.487149983
clpX,-0.486863222
yckA,-0.485591043
yngB,-0.485319152
bacE,-0.484948024
mdh,-0.483040656
gcaD,-0.482505325
fbaA,-0.482119989
gmuC,-0.481995364
ypbS,-0.481726263
fliW,-0.480920111
malS,-0.480759272
dnaB,-0.480061287
ycsE,-0.479811519
accA,-0.478988385
qoxC,-0.478691075
pstA,-0.477857819
aroD,-0.477351527
atpD,-0.476359616
tlpC,-0.475238295
kipI,-0.475106002
ywdK,-0.474949056
yitU,-0.474675975
acoC,-0.474267419
nupQ,-0.473494278
yraJ,-0.473171162
cheV,-0.470476098
mtnK,-0.47001062
comFA,-0.469978111
ywkD,-0.469897584
spoIISB,-0.468468683
iolS,-0.468255343
rhgZ,-0.46769554
ydhJ,-0.467075461
fadN,-0.465259077
xkdM,-0.465182224
sipS,-0.463516448
folC,-0.463237229
yesU,-0.462638519
srtA,-0.459451558
yfjC,-0.458540599
pyrG,-0.455499459
yfkR,-0.455201345
metS,-0.454486591
ydcH,-0.453964774
yneQ,-0.453809104
yvaF,-0.452721501
pstBA,-0.452007656
ygaC,-0.451330716
yvrB,-0.450459789
ytxJ,-0.450359035
tuaF,-0.448157391
ysnB,-0.447944197
coaX,-0.446917852
yqiW,-0.446260413
ydeO,-0.445317354
yorE,-0.444788399
yhdT,-0.444539868
rsbRC,-0.443177564
srtN,-0.443129026
yfnB,-0.443054552
yvbJ,-0.442593511
ydfA,-0.441013905
ymaB,-0.439964251
manA,-0.439382921
yxeN,-0.439364536
yusZ,-0.439006068
yxaC,-0.437806255
yxkH,-0.436843993
ywhA,-0.436632839
licA,-0.436066256
yvcI,-0.435487567
yutF,-0.434756665
ykgA,-0.434050242
copB,-0.433369058
walR,-0.433260529
ppsC,-0.431951642
leuS,-0.430621767
yqhT,-0.429852283
prsA,-0.428823559
acoL,-0.427377214
ytvA,-0.427194547
yyzN,-0.426345604
yfhM,-0.425833038
divIVA,-0.42566614
nfo,-0.425036734
maa,-0.424995152
yoqD,-0.424550115
yhcT,-0.423889235
fadH,-0.423066408
yuaD,-0.423056795
yflT,-0.422756522
ybxI,-0.422272397
yesY,-0.421861825
mtaB,-0.42157895
bacC,-0.421477969
sdaAB,-0.421216472
yktA,-0.419554
rsmG,-0.419307435
yczI,-0.4192704
ribD,-0.419236821
atpE,-0.41624207
ybyB,-0.415372949
rhgW,-0.414619119
qcrB,-0.414595138
yhcH,-0.414453832
htrC,-0.414399203
ydcP,-0.413762078
polA,-0.413593254
yojA,-0.413389368
codY,-0.413168772
rhaU,-0.410844678
yvkC,-0.41057655
pbpF,-0.410499114
ykqA,-0.410089908
yunF,-0.409952112
accC,-0.408968171
ganP,-0.408327569
fabF,-0.404162723
gmuR,-0.404063864
yraB,-0.404013047
yjqA,-0.402438984
proI,-0.402040101
yezC,-0.401917636
BS3610_RS24670,-0.401156168
ymfM,-0.401044864
ytrA,-0.400811275
aroK,-0.400809938
pdhD,-0.40069524
yhjC,-0.400560859
qoxB,-0.400523896
yqkF,-0.40040776
metA,-0.400273149
xseB,-0.400078583
yvpB,-0.399909006
yvaE,-0.397790032
dnaD,-0.397330043
ycsI,-0.396700372
pfkA,-0.395285827
ybgF,-0.394768338
mhqA,-0.394643427
yrkL,-0.394101354
BS3610_RS23900,-0.393679151
tagD,-0.393574485
dnaJ,-0.393085017
ydzF,-0.392679702
oppA,-0.392520514
levE,-0.391168566
yraA,-0.389737306
BS3610_RS24435,-0.38905644
glnA,-0.388730898
yflD,-0.387864972
ureA,-0.387544349
citB,-0.387272945
ycsN,-0.386431363
bshA,-0.385946534
rpoZ,-0.385874596
ybxG,-0.383544124
ansZ,-0.383057597
ctaE,-0.382946576
yvyC,-0.381578013
fadB,-0.381486919
cydA,-0.38063071
levF,-0.379045066
glyA,-0.378816197
yqfF,-0.377626984
ykoI,-0.376222621
yfiY,-0.375625734
gabP,-0.374666547
yrrB,-0.373873483
ywlA,-0.37300723
ytlQ,-0.372671167
yvhJ,-0.371200612
ycnL,-0.370811442
rhaB,-0.370314057
ampS,-0.369418497
ypmT,-0.369337439
yokB,-0.369161251
ydeN,-0.368525958
thiW,-0.36838981
yvlD,-0.366660704
adaB,-0.36528758
mhqR,-0.364075292
malP,-0.36376313
yitW,-0.363283677
yhfS,-0.363203581
rsmD,-0.363059682
ytxH,-0.362642757
secDF,-0.361789997
glnJ,-0.361500756
yfiN,-0.359182618
yaaO,-0.358277721
ecsA,-0.357544319
yacL,-0.356862871
cycB,-0.356466655
pcp,-0.35516087
ydbT,-0.353798103
ytxK,-0.353309574
helD,-0.349645887
yoxB,-0.349636472
yugS,-0.349274315
pdhA,-0.349196193
opuBC,-0.34882355
ypdA,-0.348404744
miaB,-0.348393968
bsdC,-0.346033407
hisC,-0.345425908
nhaX,-0.345271195
ybbP,-0.344595195
mrpA,-0.344533295
ywqE,-0.34403973
qoxD,-0.341993217
nadD,-0.341438566
ppsD,-0.34142208
ribE,-0.341380946
mreC,-0.341351132
iscSB,-0.338965826
yutE,-0.338770224
pucL,-0.338428552
ytqA,-0.338381807
yjpA,-0.337521093
tilS,-0.337166556
phrG,-0.335413475
ybbA,-0.335246477
yfmO,-0.335041431
sipT,-0.334401246
ytgP,-0.333970928
ileS,-0.333967187
yclD,-0.333416717
yceC,-0.333268499
yqgV,-0.33162259
ynzC,-0.330743554
yojK,-0.330542369
ydjE,-0.329999475
priA,-0.329980342
ywqL,-0.328760775
pdhB,-0.326463022
yacP,-0.32613443
yxiP,-0.325838788
asnS,-0.324872527
ansA,-0.321988969
yclE,-0.320888823
yfkS,-0.319614348
mgsA,-0.31811102
ycgJ,-0.317116776
trpS,-0.313315691
xkdV,-0.312936781
yrrS,-0.311379253
ytkK,-0.309668099
feuC,-0.309260072
xkdE,-0.308386447
opuAB,-0.308198989
putC,-0.308005898
clsA,-0.307129552
mreD,-0.306996934
yrpB,-0.3059502
yoaT,-0.304769817
yosS,-0.302528261
pucE,-0.302330259
dhaS,-0.301944781
ywnH,-0.300936778
bceB,-0.3006021
ydaH,-0.299037479
ltaSP,-0.29890592
yjcQ,-0.298833252
yulB,-0.297110576
yjfB,-0.296990968
parA,-0.296960346
desK,-0.296949105
ywqM,-0.296180396
ykkC,-0.295992824
copA,-0.295462818
kipA,-0.295324576
buk,-0.294967612
hemQ,-0.294763886
rplQ,-0.294598752
ytiB,-0.293953732
yczH,-0.293376392
oxaAA,-0.293146823
araR,-0.292955467
yneT,-0.291865476
metE,-0.291396192
pgi,-0.290867101
ytoA,-0.289645095
BS3610_RS24580,-0.289165838
ywrF,-0.288161833
ylxW,-0.28618893
yqzF,-0.285816857
accD,-0.285584431
yoyD,-0.284789768
yobM,-0.284371865
ycgQ,-0.283598075
acoB,-0.283084308
artR,-0.283043057
ybaS,-0.282233071
pncA,-0.281651891
ywbI,-0.281120239
ispA,-0.280013888
yndB,-0.279414771
yrkN,-0.278312916
rttF,-0.278003054
parB,-0.277850624
appA,-0.277721727
amyE,-0.277140257
ydjC,-0.276967357
yyaH,-0.276827674
yazB,-0.276760515
ppaC,-0.276289031
liaS,-0.275263991
bmrU,-0.274698968
holA,-0.273677711
coaD,-0.271598993
ydeR,-0.270428851
yknV,-0.270155908
ymfI,-0.270032027
yxkA,-0.269108055
nupP,-0.269085216
yqjX,-0.268692748
rho,-0.267709263
iolR,-0.264333199
hmoA,-0.264014176
rocA,-0.262981267
ybgA,-0.261868715
ywcJ,-0.261731261
yvyI,-0.260151026
rpmGCa,-0.259311436
yisT,-0.259218937
ywmE,-0.258332174
ytoQ,-0.257918458
yvcP,-0.257746766
yhjA,-0.25703559
yxeH,-0.255402258
yxeO,-0.25427933
yxeB,-0.253342148
lipM,-0.252348035
ydjI,-0.251641756
efp,-0.251535282
ypjA,-0.251235627
rttM,-0.250343628
levB,-0.249439113
ykrP,-0.249068366
ydaM,-0.24807068
lytA,-0.24583557
appD,-0.245291125
yjdF,-0.244916425
oppB,-0.244596751
pdxT,-0.244299101
adhA,-0.243780617
gntR,-0.239686303
yrrO,-0.239563197
tuaH,-0.238772358
ydbA,-0.23731873
BS3610_RS24220,-0.236981628
cca,-0.236413136
yqjZ,-0.235439748
yydB,-0.234715774
ohrB,-0.234494718
pbuO,-0.234114832
yuzG,-0.233689281
yxiO,-0.233621359
sigA,-0.233030944
yvzF,-0.2329816
alsR,-0.232413325
yppF,-0.230797062
yclO,-0.230237691
pucK,-0.229269962
ltaSA,-0.228608062
folK,-0.228208077
yvyE,-0.22741745
atpG,-0.227228455
yhcI,-0.226403011
malR,-0.225256099
rsbRA,-0.225002901
gltA,-0.224090069
yybO,-0.223740602
yacD,-0.223110882
glpF,-0.222796767
csrA,-0.22189412
yosP,-0.221754107
nrdEB,-0.221648235
capB,-0.22156993
rocE,-0.221470877
proG,-0.219293353
dgkA,-0.21926499
menH,-0.219005484
fruK,-0.218620422
ybfA,-0.216738072
ilvB,-0.215794632
ywqO,-0.215565761
yvrH,-0.21414025
aspB,-0.213381644
rlmCD,-0.212855483
yfhO,-0.212828942
ohrR,-0.212488813
ybaC,-0.21234062
yurT,-0.211568865
ydbI,-0.20955648
ykzC,-0.209026716
manR,-0.208959385
yycB,-0.208761104
yqjD,-0.208704115
yukJ,-0.208054079
yfmF,-0.207900516
ybbK,-0.207810317
appC,-0.206866249
truA,-0.206798107
yonA,-0.205434716
ssbA,-0.20471568
msrA,-0.204082772
rpsM,-0.201157298
csoR,-0.200730785
hslR,-0.200407507
yphF,-0.199806947
yfkC,-0.199503072
htrA,-0.19928046
yrkO,-0.198474444
ydfG,-0.198329643
yxzK,-0.198311569
cysS,-0.19827672
licC,-0.198106698
rplL,-0.196189714
ddl,-0.194870018
ylxR,-0.194661186
tagG,-0.192683493
ftsR,-0.192613793
yrrK,-0.190790618
flgB,-0.18895957
nupO,-0.188450898
ylbL,-0.187116264
bacD,-0.184315755
BS3610_RS01320,-0.183913469
yyzE,-0.181149802
pksB,-0.180923322
icd,-0.179919831
ycsG,-0.177982019
yisB,-0.177792784
cssS,-0.177099251
gltP,-0.176303535
ypwA,-0.175402113
yrkQ,-0.173742194
cimH,-0.172654701
ydfE,-0.171312401
fabZ,-0.171214361
ywjG,-0.169969026
ywqI,-0.168969303
phrH,-0.168220838
glpW,-0.168001982
yabR,-0.165985991
yneN,-0.164890167
rpoA,-0.163369738
ywzC,-0.16285752
ywlE,-0.162407715
cwlO,-0.162125938
xkdA,-0.161899386
folD,-0.16179343
nudF,-0.161297382
ysdC,-0.160268109
yjcP,-0.158551701
yqxG,-0.157780034
thiG,-0.157606502
BS3610_RS19415,-0.156669255
ywqG,-0.155740281
BS3610_RS23245,-0.154840056
yveG,-0.154831948
yoqG,-0.154314833
ydfI,-0.151911627
yngC,-0.151612552
feuA,-0.148825961
ylmA,-0.147629019
mrpG,-0.146884748
comGE,-0.145868343
BS3610_RS24375,-0.144727906
sucC,-0.144371899
rnmV,-0.143667002
dat,-0.142737978
yycR,-0.14178683
ywiC,-0.141574907
des,-0.140962787
yxeP,-0.140512258
glcT,-0.140341527
yueF,-0.137912769
opuCD,-0.137589677
yhjM,-0.136993691
ppsE,-0.136579583
yqfA,-0.135450389
yebE,-0.135217903
yjbB,-0.135036179
yxeI,-0.134901019
guaD,-0.134280044
speA,-0.134184873
rimM,-0.133108967
yoaH,-0.132811177
ecfT,-0.132554978
ptsG,-0.131545678
rttN,-0.130216675
ysaA,-0.130144496
yisK,-0.128599991
ycbR,-0.128005346
yloV,-0.126845203
yaaL,-0.126025003
yveF,-0.125356746
atpH,-0.123000845
bioYB,-0.122826852
cysE,-0.122443625
ygaD,-0.118399244
tcyC,-0.118389225
aroA,-0.117858471
frlR,-0.117835094
ctaC,-0.117247681
ctaG,-0.117201498
yocK,-0.116451556
ylmD,-0.11547524
lpdV,-0.114450537
tufA,-0.114269494
yfhJ,-0.114243697
bceA,-0.114055455
mreB,-0.111534953
dctB,-0.111401124
gsiB,-0.110903826
rhaD,-0.110217788
xynC,-0.109451087
yisL,-0.109070443
fabHA,-0.108882182
yydA,-0.108697754
ydgE,-0.105943177
ykoH,-0.105631065
hutI,-0.105299702
yjzI,-0.104216912
liaF,-0.104055463
hflX,-0.102624693
yqhY,-0.102168625
yosF,-0.101811603
yxjJ,-0.101231808
ilvC,-0.100662538
dnaX,-0.099975111
groEL,-0.099593855
sspL,-0.099580107
qoxA,-0.099173176
ackA,-0.099084067
yqhL,-0.097325844
rpsP,-0.096970423
yvrC,-0.096661828
pabB,-0.096383058
galM,-0.094316744
ykuG,-0.093114554
ndoAI,-0.091724754
cydD,-0.090722708
yvgN,-0.090530211
bsuRB,-0.088855752
ylaN,-0.088814601
hutU,-0.088769375
rplB,-0.086499038
ymaD,-0.086273293
yvzH,-0.084756557
yaaA,-0.083563187
atpF,-0.083510963
ecfAB,-0.083454625
yueD,-0.08317804
smpB,-0.083001379
fruA,-0.081508206
yqhP,-0.079977285
purD,-0.079346112
ypsA,-0.079167565
trpP,-0.077449069
rluB,-0.077113273
ydgG,-0.077000498
yxeF,-0.076176696
ybdJ,-0.076083392
yxkI,-0.075708882
yetK,-0.07565931
ykfD,-0.075357426
yhaU,-0.072740542
yezG,-0.072687064
rplO,-0.071421437
divIC,-0.071271765
pksD,-0.070871578
yvyF,-0.07029094
yugN,-0.069776222
yybG,-0.069687413
ppiB,-0.069594439
yxjN,-0.06935179
yxxF,-0.069160292
ylqC,-0.068988522
yyaP,-0.06853724
sirC,-0.068250017
yddF,-0.068077261
ydeG,-0.067615829
nfrAB,-0.066829787
citA,-0.066743701
tuaB,-0.066692405
argH,-0.066021005
ptb,-0.065737707
mapA,-0.065711301
yfiF,-0.064774805
kipR,-0.064699997
rsiX,-0.06465383
yvaA,-0.06413997
yteU,-0.063803554
yvaK,-0.06299739
yxeR,-0.05929035
kdgT,-0.059277374
purN,-0.057542056
abh,-0.056722412
yxzJ,-0.056339844
trxA,-0.055110601
rttG,-0.054827783
yheG,-0.053795902
cah,-0.052980421
yonS,-0.051737969
ypsC,-0.051629463
ynzF,-0.051183753
yprB,-0.051043184
yodA,-0.05022903
ndk,-0.049959236
yslB,-0.049508563
minC,-0.049285466
ydeE,-0.049053604
ydbM,-0.048848056
ftsA,-0.048526764
degU,-0.046757067
csbB,-0.045611954
ydiL,-0.04546743
xynD,-0.044838601
ycbL,-0.044832048
dnaA,-0.044751001
BS3610_RS24125,-0.044238563
yqaR,-0.044228803
natR,-0.043546467
rpsR,-0.043267482
pyrH,-0.043022733
dgk,-0.040725197
thiF,-0.040532755
dinG,-0.039895339
sirB,-0.039772534
rsmE,-0.039386649
spxA,-0.038838131
narJ,-0.036603234
radA,-0.035122704
alsS,-0.034918162
yoaZ,-0.03366689
plsX,-0.03327832
yqfB,-0.03257613
yrvD,-0.031724883
rok,-0.03150032
rtbD,-0.030583085
appB,-0.027894103
vpr,-0.027470627
pksJ,-0.026513749
apt,-0.025360067
cueR,-0.024273055
rplC,-0.022257852
dusC,-0.022178008
folB,-0.02037185
licB,-0.019614693
yhjG,-0.018890313
ydcA,-0.018123385
tagF,-0.017852108
ypmR,-0.01745606
yxeQ,-0.017100209
ccpN,-0.017029847
bshBA,-0.015321117
bglC,-0.014739419
yjdA,-0.01362779
levR,-0.010908914
spo0A,-0.010365752
rocD,-0.009574759
ydgC,-0.008019066
nin,-0.00562975
ytxG,-0.00541523
bdbD,-0.0051492
mrnC,-0.004679386
rpsD,-0.004175759
yaaQ,-0.003473965
yhaR,-0.002676243
ywaE,-0.00075665
yqgB,0.000635717
lytG,0.001728644
ydgI,0.001903844
yfkL,0.00199716
padC,0.002010944
pksE,0.002338774
rbfA,0.003770295
purH,0.004363373
yokE,0.005725034
dnaG,0.005757233
BS3610_RS18125,0.005996849
yhcG,0.006574201
ykuV,0.006870017
coiA,0.007349506
yybD,0.007617062
yugG,0.008482544
ybfN,0.008630802
fmnP,0.008664665
rplR,0.008956987
yubA,0.009008158
ywpD,0.009104112
yopX,0.009409733
sigL,0.009798793
tyrZ,0.010573406
sipV,0.011363118
pksA,0.012742988
opuBB,0.013139273
spo0B,0.01347136
kdgK,0.017573898
yjcS,0.01798782
yurQ,0.019260733
ydfH,0.019360518
yhcK,0.020197751
bdbC,0.020902478
yobF,0.022277042
thiV,0.025048847
phoH,0.025318798
yplQ,0.025800928
ykaA,0.026431518
nhaC,0.026497628
rpsC,0.027957155
ndh,0.028499081
yoaS,0.029518913
tsf,0.030437756
thiQ,0.031116034
ykkA,0.031394779
atpB,0.032366272
yrbC,0.032631328
yqzI,0.03319209
spoIIR,0.034045485
ydgH,0.034248956
yhfT,0.034881511
yfhI,0.035688016
bglA,0.036271006
yrrN,0.036951312
dapH,0.038622074
tmrB,0.038772946
ytxE,0.040002267
ndoA,0.040959857
yxiT,0.0414639
ybbJ,0.041478318
rsiW,0.041653918
yvdR,0.041713742
yycA,0.041757083
nusA,0.042316388
ybfK,0.042898065
aseR,0.043310329
tig,0.044329488
yetH,0.044387561
cccB,0.045871876
brnQ,0.046149721
accB,0.046164753
fusA,0.047084407
yddT,0.047504655
yxlF,0.048299206
yxiE,0.049943301
yrdQ,0.050448948
yrzH,0.05071234
ykuI,0.052146397
rapJ,0.052892733
yfjL,0.054753597
gamP,0.054992411
ywoF,0.055350221
yncB,0.056135823
samT,0.057776284
ptsH,0.058059236
rsbRB,0.058211526
znuA,0.058935008
lcfB,0.05994825
dnaK,0.060816786
ohrA,0.062100829
yerB,0.064011124
yvaG,0.06441701
azlC,0.065226381
yoxC,0.065837916
yheJ,0.066186488
ccpC,0.066302088
nusG,0.066912853
ydhK,0.067192889
ydcL,0.068796119
pheA,0.068907466
yvlB,0.070499851
comEC,0.071403247
yjfC,0.071536619
ymcC,0.071572843
hxlR,0.073514859
yerC,0.073673966
mgsR,0.073874752
tadA,0.074350699
yitT,0.074387428
xlyA,0.074761129
narI,0.0755918
bioF,0.075902972
pksS,0.077421075
dppE,0.077425225
cggR,0.077861815
yxlC,0.078174479
rttO,0.078582874
ydeI,0.079594458
yhgE,0.079927696
ydeJ,0.080556281
yycD,0.080747192
ykzN,0.080868149
rpsL,0.081358691
birA,0.081432301
mutY,0.084506181
yaaR,0.084620821
cysK,0.086144005
ywcC,0.088122075
bkdR,0.089694726
mraY,0.091119942
yfiQ,0.092476306
yvbI,0.092742633
yxxE,0.095367286
dprA,0.095602945
thiU,0.096402781
dapL,0.09712609
moaC,0.097558027
pucD,0.09827916
ydfD,0.098446866
yusI,0.098474531
plsY,0.098489805
yrvC,0.099568899
yrzL,0.100228996
rsbS,0.100567679
yxeL,0.100730031
ypmA,0.10107857
rplF,0.101116355
BS3610_RS24135,0.101840355
yclP,0.102663614
pdxS,0.102663975
mcsA,0.102924462
yqgU,0.103837162
spoVE,0.1039072
ccpB,0.104659318
murF,0.105437461
gatC,0.105518004
yvgO,0.106876366
plsC,0.107240225
ytmP,0.107785732
pbpB,0.107957036
pksL,0.108251004
yknZ,0.109489711
yyzI,0.109612169
qcrC,0.10967853
xlyB,0.110477707
yoyC,0.110511162
resB,0.110546291
mrpE,0.112198497
comFB,0.112242196
bsuRC,0.11452894
yojE,0.115654727
ykuC,0.115856992
rtbE,0.116045942
ntdC,0.11721281
hutP,0.117931137
ilvH,0.119211124
scoC,0.119842441
yobV,0.120298862
thiS,0.120483796
psiE,0.120740617
yesN,0.121366735
sipU,0.121695775
dapF,0.121743044
yydD,0.122101074
yccF,0.12424308
ytcD,0.124444625
murD,0.125541544
qcrA,0.125957505
yxjO,0.126270383
dhbC,0.126272133
yqbO,0.126303594
yusE,0.127649935
rpmJ,0.127711631
yusQ,0.127735373
ffh,0.128103742
yydC,0.128207761
aroQ,0.129332955
nasD,0.129358678
hepS,0.130316587
xkdC,0.13069216
rghRA,0.133003324
yqzC,0.133956282
BS3610_RS24290,0.134915168
ispH,0.135366893
yusO,0.135573392
fnr,0.136553444
murC,0.136637591
yxeM,0.137235022
ymfC,0.1375626
immA,0.137634479
yhjE,0.138978326
kinA,0.139117715
fadF,0.139522026
ruvA,0.139606699
comEA,0.139647333
yizB,0.139672523
yhcU,0.143303393
BS3610_RS23810,0.143939869
ktrA,0.144315527
yozI,0.145136856
BS3610_RS08485,0.145711885
yfmP,0.145993015
fadR,0.146079786
argG,0.146734274
sumT,0.146959338
mreBH,0.147048991
natK,0.148288311
ytaB,0.148763797
yknU,0.150154223
yyaL,0.150335044
capC,0.151079418
kduD,0.151288079
kinE,0.1517705
kdgA,0.1518975089999999
putB,0.151923333
rpsE,0.152700619
yocD,0.153063861
rplA,0.155607138
ytbQ,0.156142858
ydbL,0.156498264
ftsL,0.157012841
yunG,0.157337409
acoA,0.158343026
ywpF,0.158485017
yqeI,0.158570378
cdsA,0.158627543
dppD,0.159926738
yitZ,0.160588949
prsW,0.160978952
yukB,0.162111652
secG,0.162122662
exuM,0.162476565
liaR,0.16453907
ydbP,0.164702665
murB,0.165153658
racE,0.166049262
yorB,0.166975418
ypeP,0.167728056
yyaQ,0.169845869
ctaF,0.170885607
sat,0.171193588
mrpF,0.171858871
yueC,0.173923989
trmL,0.174200257
pps,0.174348688
ythQ,0.174712585
ydiM,0.17502352
tyrA,0.175286182
gerBC,0.175477348
ydeC,0.176384995
ydzV,0.17651574
ripX,0.177066142
yddQ,0.177248746
artQ,0.178068272
rpsNA,0.179041559
acpK,0.179651881
ywnC,0.18035027
yocR,0.1806815
yfjT,0.180796298
BS3610_RS24285,0.181912631
srfAC,0.182489238
ycgA,0.183703658
ykzU,0.183991557
htpK,0.184852172
yqfW,0.184960482
yugE,0.184984376
spo0F,0.186363575
secY,0.186910466
sbp,0.186944058
pksG,0.186972244
phoP,0.188746231
yxjB,0.188998081
deoR,0.190041362
ypjC,0.190682537
ntdB,0.195082834
BS3610_RS04970,0.195610171
mrpC,0.196483572
rpoE,0.197331914
yvkB,0.197380686
pucB,0.19813097
yobT,0.198205717
ywzF,0.198958053
pta,0.199193452
yclQ,0.200050241
yqgX,0.201798347
mrpB,0.202682789
narK,0.203857011
yneJ,0.204775459
nagBB,0.204929594
yugO,0.205153603
yuzC,0.205566054
yokI,0.206246693
rsoA,0.206885693
braB,0.208073512
metQ,0.208440557
ybdK,0.209314801
narG,0.210211906
prpE,0.210599981
yhaI,0.211432431
BS3610_RS23390,0.211738118
ycxC,0.211780193
dppC,0.212303837
ywoH,0.216400015
ygxA,0.217118734
ganR,0.220065101
ydgJ,0.220936071
ywdI,0.221080594
yrbF,0.221217081
ywmC,0.22216593
yomO,0.222821913
hmoB,0.224042452
ybzG,0.224168493
pbpE,0.225328364
ylbP,0.225924796
yclN,0.226130266
yjbK,0.226391383
sigM,0.226544231
ywqF,0.226942436
yqxK,0.228453039
acdA,0.22868503
frr,0.22868914
racX,0.228767552
ygaO,0.22959063
iseA,0.22967506
infB,0.229701982
tagE,0.229833734
ywnF,0.231427636
azlD,0.232174819
metN,0.233186769
mrpD,0.233256832
yueB,0.233514259
yqzD,0.233893436
yshA,0.234364349
yqcC,0.234697146
mutT,0.235304491
ycgS,0.235849948
queG,0.236211873
leuC,0.236488951
yxaL,0.236694784
pksF,0.236821905
cydB,0.23832686
yorA,0.239332337
pucM,0.239439891
ypmB,0.240178592
trpA,0.240666768
yloC,0.241265983
tcyA,0.242052791
rapD,0.243069281
yuxN,0.244564809
yonP,0.244959487
alsD,0.245104402
tagO,0.24690219
ydgD,0.247234329
yqeY,0.249303059
ybgB,0.250719362
pksN,0.251367838
mfd,0.251389783
menF,0.252037866
BS3610_RS23520,0.252688985
yttA,0.252954546
yoxD,0.253826842
yxlG,0.254887725
ypiA,0.255188507
levD,0.256692583
rplD,0.256751695
bofC,0.257128733
lytD,0.257378758
ydhH,0.258742075
pksC,0.258765601
ycdC,0.25889488
bacA,0.259079938
yueH,0.259403719
adaA,0.260274918
yokK,0.260661494
bdhA,0.260776711
ydfB,0.263225953
cysP,0.263826285
ydfL,0.265055054
ysmA,0.265873381
murE,0.266755381
liaG,0.266967823
BS3610_RS23660,0.267036014
yhdW,0.267566738
exlX,0.268638964
nasB,0.269504627
yxcA,0.269706407
mgtE,0.27034975
yesM,0.271411127
ygaJ,0.272102306
sigH,0.272496475
ywiB,0.272698636
ykkB,0.272760651
yvcB,0.273145861
yxjI,0.273200878
yoaC,0.273495268
yvrJ,0.273507751
dhbA,0.273994632
bsaA,0.276867683
hinT,0.277124041
srfAA,0.277882999
cydC,0.27854488
yojN,0.278796096
yszB,0.280038907
yusF,0.280222809
rpsG,0.281645435
BS3610_RS24530,0.281860651
rtpA,0.282850285
lplA,0.283191782
dinF,0.285488084
yyzJ,0.288083619
