geneName,log2FoldChange
gutR,-1.436945424
gntZ,-1.432941986
coaA,-1.43256265
yvfR,-1.432002723
yfjE,-1.430224861
yufL,-1.42988828
nosA,-1.429540549
yhdL,-1.428293034
fliL,-1.427265843
aapA,-1.426957989
yvcS,-1.4262263
ysnF,-1.423578682
pcrB,-1.422526402
ywdF,-1.421988187
naiP,-1.419925734
yceH,-1.413711408
kinD,-1.412391972
thrB,-1.411835279
yfiI,-1.411505404
yerD,-1.410697662
yfiH,-1.408222597
zwf,-1.406591912
bmr,-1.40629764
yjbJ,-1.405859361
fhuB,-1.40366019
yxxG,-1.402993767
yvrL,-1.402453445
ydjJ,-1.400521962
yfhA,-1.399191278
rhgQ,-1.39668211
motB,-1.393985538
yisS,-1.390078889
uvrB,-1.388966992
ylzI,-1.385964061
yxjG,-1.385553709
ydcT,-1.385120028
ydeQ,-1.382723801
yusR,-1.382268078
xylA,-1.380987766
ycbD,-1.375714201
lrgB,-1.374668368
polYA,-1.369576802
yqjP,-1.36408019
galT,-1.363168709
fliR,-1.36212894
ycgT,-1.361122943
eno,-1.358910464
ywhC,-1.356764971
cheA,-1.356624464
ywfO,-1.355693721
fdhD,-1.35512963
gmuF,-1.350724623
sdaAA,-1.350664184
fhuC,-1.349628367
acoR,-1.347679343
ktrC,-1.346393444
yhdF,-1.346164753
pgm,-1.341838865
ydzS,-1.341091188
mdxG,-1.340022197
yprA,-1.339542658
flhB,-1.339405593
yxiS,-1.337176178
acsA,-1.334949544
rbsD,-1.330744869
yumC,-1.329536172
ispE,-1.329243916
oppD,-1.327776351
yabN,-1.323175053
cheW,-1.321620975
ycbC,-1.321389885
ypjQ,-1.321356166
yqjQ,-1.321231753
mdxL,-1.320276973
ycbO,-1.319577074
prfB,-1.31910051
trxB,-1.318572629
yisQ,-1.317305044
yrkI,-1.315814979
mprF,-1.315021994
rbsK,-1.313052169
rnhB,-1.311649642
alaS,-1.309528023
metK,-1.309143477
BS3610_RS23335,-1.308846416
rbsA,-1.307001818
argS,-1.306100204
dltC,-1.305948468
fliH,-1.302882015
yshB,-1.302600782
yflN,-1.301927763
BS3610_RS04245,-1.301200238
glcF,-1.300802631
thiI,-1.300440012
yutJ,-1.30041836
moeB,-1.300268521
secA,-1.298929414
nhaK,-1.296876252
nasA,-1.295791269
yoaE,-1.295035812
yvcR,-1.294132069
yjhB,-1.294047611
yfkM,-1.292300947
pbuE,-1.291613422
ytcJ,-1.290943342
gntK,-1.290770356
yobE,-1.290099302
yfhF,-1.28936072
yerH,-1.287596683
vmlR,-1.283555455
xynB,-1.283342176
tlpB,-1.277007623
araN,-1.276881327
ispG,-1.276201308
ydgF,-1.275815
fliT,-1.274455837
araL,-1.272090043
yebA,-1.271310346
addA,-1.270670657
ribAB,-1.270636066
pckA,-1.270174642
yjkA,-1.270084364
ysxC,-1.26938752
opuE,-1.269279359
walJ,-1.269174195
queA,-1.268193447
fliS,-1.266295839
mdxJ,-1.266272935
ydiF,-1.265772018
fliZ,-1.264471528
aspS,-1.257658111
gmuE,-1.255920169
yuiD,-1.254539439
gabD,-1.254052895
panE,-1.253202847
yjzF,-1.252658555
yxzI,-1.252336915
recN,-1.251850403
katE,-1.251630759
oxdC,-1.25146695
menE,-1.251312105
ydeK,-1.250009222
oppF,-1.248410851
recF,-1.248210087
panC,-1.244878972
yceF,-1.243310347
fliJ,-1.240980718
yhdJ,-1.240242263
bcrC,-1.238708119
fliG,-1.238668264
ycxA,-1.237679564
lipA,-1.237152957
ycgK,-1.235966819
nth,-1.235579386
yhfF,-1.234162265
yvrN,-1.23217051
xkdQ,-1.230735536
ylqG,-1.230727917
yvoF,-1.230292694
spoIIIE,-1.229406679
fliQ,-1.228816911
oxaAB,-1.228804528
mtrB,-1.22603019
gapB,-1.225089803
pcrA,-1.223269585
addB,-1.223214899
ssbB,-1.221633313
BS3610_RS24390,-1.220532557
fmt,-1.21779616
BS3610_RS24520,-1.21757174
thiM,-1.217381707
pgcA,-1.216289111
gyrB,-1.21537088
yabB,-1.213269143
pdaC,-1.211251988
ung,-1.210364741
yvoD,-1.209641966
hxlA,-1.209406014
glpK,-1.209160729
mleA,-1.208600775
sbcD,-1.207639558
speB,-1.206358472
yvrO,-1.205429828
relQ,-1.200945313
yvrE,-1.195157966
yjcL,-1.194333256
ydbD,-1.191709644
mtlR,-1.191654084
gapA,-1.186888786
xkdT,-1.180701972
yvbT,-1.180053071
bsuMB,-1.179979805
yvrG,-1.179687105
phoE,-1.177035659
xkzA,-1.176879783
ykzL,-1.175554145
malQ,-1.1723086
hemE,-1.170878423
yocB,-1.170850087
menC,-1.167381547
blt,-1.166481084
yvcQ,-1.164740424
yceG,-1.164464245
yutK,-1.163841453
yflL,-1.161595957
pucG,-1.160903647
ywpJ,-1.160846075
yisP,-1.159932783
yesE,-1.159881011
padR,-1.159312323
gltT,-1.158420906
asnB,-1.158165416
ywbC,-1.157156004
